postcode,totalprops,last14,average,median,avgtom
IG1,615,81,"£1,238 pcm","£1,200 pcm",168 days
IG2,258,35,"£1,296 pcm","£1,300 pcm",153 days
IG3,310,48,"£1,237 pcm","£1,171 pcm",164 days
IG4,43,7,"£1,362 pcm","£1,248 pcm",164 days
IG5,44,5,"£1,537 pcm","£1,574 pcm",177 days
IG6,132,33,"£1,427 pcm","£1,300 pcm",134 days
IP1,76,16,£697 pcm,£596 pcm,207 days
IP2,55,11,£588 pcm,£594 pcm,173 days
IP3,79,13,£716 pcm,£675 pcm,183 days
IP4,103,26,£708 pcm,£625 pcm,154 days
IP5,21,6,£854 pcm,£793 pcm,150 days
IP6,14,3,£771 pcm,£612 pcm,178 days
IP7,17,5,£829 pcm,£850 pcm,165 days
IP8,15,6,£721 pcm,£724 pcm,176 days
IP9,9,0,£719 pcm,£693 pcm,138 days
IP10,1,0,£849 pcm,£849 pcm,17 days
IP11,51,15,£651 pcm,£625 pcm,120 days
IP12,35,11,£921 pcm,£776 pcm,146 days
IP13,15,2,"£1,271 pcm",£950 pcm,69 days
IP14,55,9,£723 pcm,£650 pcm,183 days
IP15,5,0,£758 pcm,£611 pcm,213 days
IP16,19,4,"£1,109 pcm",£607 pcm,320 days
IP17,22,3,"£1,069 pcm",£802 pcm,121 days
IV1,7,3,£755 pcm,£750 pcm,83 days
IV2,31,12,£746 pcm,£724 pcm,79 days
IV3,8,2,£690 pcm,£596 pcm,104 days
IV4,5,2,£754 pcm,£750 pcm,125 days
IV5,0,0,-,-,-
IV6,2,1,£475 pcm,£475 pcm,10 days
IV7,0,0,-,-,-
IV8,1,0,£650 pcm,£650 pcm,14 days
IV9,0,0,-,-,-
IV10,1,1,£598 pcm,£598 pcm,0 days
IV11,1,0,£550 pcm,£550 pcm,31 days
IV12,8,1,£718 pcm,£688 pcm,84 days
IV13,0,0,-,-,-
IV14,0,0,-,-,-
IV15,10,2,£582 pcm,£563 pcm,259 days
IV16,0,0,-,-,-
IV17,1,0,£525 pcm,£525 pcm,16 days
IV18,1,0,£598 pcm,£598 pcm,35 days
IV19,1,0,£800 pcm,£800 pcm,371 days
IV20,0,0,-,-,-
IV21,0,0,-,-,-
IV22,0,0,-,-,-
IV23,0,0,-,-,-
IV24,0,0,-,-,-
IV25,1,0,£450 pcm,£450 pcm,684 days
KA1,64,9,£492 pcm,£425 pcm,212 days
KA2,1,0,£475 pcm,£475 pcm,58 days
KA3,49,5,£456 pcm,£450 pcm,270 days
KA4,6,1,£491 pcm,£438 pcm,216 days
KA5,12,1,£531 pcm,£486 pcm,128 days
KA6,17,2,£586 pcm,£524 pcm,160 days
KA7,64,12,£624 pcm,£550 pcm,152 days
KA8,53,5,£451 pcm,£440 pcm,200 days
KA9,22,1,£553 pcm,£484 pcm,169 days
KA10,27,3,£488 pcm,£425 pcm,180 days
KA11,12,2,£475 pcm,£446 pcm,191 days
KA12,18,2,£458 pcm,£451 pcm,98 days
KA13,12,4,£552 pcm,£485 pcm,176 days
KA14,1,0,£325 pcm,£325 pcm,631 days
KA15,8,0,£490 pcm,£395 pcm,444 days
KT1,300,48,"£1,784 pcm","£1,485 pcm",154 days
KT2,410,49,"£2,135 pcm","£1,551 pcm",158 days
KT3,200,37,"£1,878 pcm","£1,400 pcm",128 days
KT4,91,18,"£1,479 pcm","£1,400 pcm",131 days
KT5,139,27,"£1,572 pcm","£1,499 pcm",154 days
KT6,292,52,"£1,590 pcm","£1,354 pcm",147 days
KT7,22,3,"£1,611 pcm","£1,398 pcm",278 days
KT8,104,14,"£2,349 pcm","£1,551 pcm",229 days
KT9,32,8,"£1,281 pcm","£1,255 pcm",89 days
KT10,164,18,"£3,958 pcm","£3,549 pcm",212 days
KT11,142,12,"£4,506 pcm","£3,995 pcm",197 days
KT12,147,19,"£2,600 pcm","£1,495 pcm",188 days
KW1,6,5,£604 pcm,£574 pcm,64 days
KW2,0,0,-,-,-
KW3,1,0,£650 pcm,£650 pcm,69 days
KW5,0,0,-,-,-
KW6,0,0,-,-,-
KW7,0,0,-,-,-
KW8,0,0,-,-,-
KW9,0,0,-,-,-
KY1,71,13,£508 pcm,£475 pcm,200 days
KY2,24,3,£511 pcm,£486 pcm,151 days
KY3,13,3,£696 pcm,£498 pcm,131 days
KY4,16,1,£492 pcm,£475 pcm,162 days
KY5,10,3,£466 pcm,£463 pcm,162 days
KY6,16,5,£505 pcm,£494 pcm,168 days
KY7,21,4,£683 pcm,£495 pcm,118 days
KY8,51,11,£451 pcm,£400 pcm,203 days
KY9,1,0,"£1,000 pcm","£1,000 pcm",61 days
L1,219,27,£939 pcm,£750 pcm,169 days
L2,52,10,£812 pcm,£724 pcm,139 days
L3,336,48,£969 pcm,£750 pcm,207 days
L4,183,26,£447 pcm,£451 pcm,202 days
L5,62,9,£570 pcm,£452 pcm,186 days
L6,327,30,£890 pcm,£477 pcm,240 days
L7,329,29,£979 pcm,£524 pcm,221 days
L8,188,18,£856 pcm,£550 pcm,184 days
L9,98,20,£472 pcm,£451 pcm,160 days
L10,17,5,£592 pcm,£550 pcm,238 days
L11,30,5,£540 pcm,£537 pcm,146 days
L12,40,8,£655 pcm,£637 pcm,116 days
L13,97,17,£531 pcm,£495 pcm,167 days
L14,30,8,£563 pcm,£550 pcm,51 days
L15,357,23,"£1,286 pcm",£737 pcm,238 days
L16,9,1,£974 pcm,£949 pcm,189 days
L17,152,25,£993 pcm,£650 pcm,196 days
L18,103,9,"£1,193 pcm",£802 pcm,298 days
L19,45,12,£565 pcm,£550 pcm,163 days
L20,178,19,£436 pcm,£425 pcm,200 days
L21,64,9,£480 pcm,£477 pcm,187 days
L22,58,11,£536 pcm,£524 pcm,170 days
L23,40,11,£764 pcm,£676 pcm,161 days
L24,17,4,£520 pcm,£525 pcm,90 days
L25,53,10,£711 pcm,£702 pcm,158 days
LA1,225,29,£649 pcm,£550 pcm,182 days
LA2,50,8,£668 pcm,£599 pcm,174 days
LA3,57,13,£537 pcm,£477 pcm,133 days
LA4,78,9,£497 pcm,£494 pcm,152 days
LA5,23,3,£642 pcm,£576 pcm,171 days
LA6,23,5,£686 pcm,£650 pcm,187 days
LA7,8,3,£643 pcm,£650 pcm,24 days
LA8,8,3,£695 pcm,£688 pcm,147 days
LA9,61,12,£560 pcm,£550 pcm,166 days
LA10,4,1,£605 pcm,£573 pcm,72 days
LA11,16,1,£706 pcm,£643 pcm,206 days
LA12,40,10,£635 pcm,£595 pcm,102 days
LD1,14,3,£398 pcm,£386 pcm,265 days
LD2,15,2,£507 pcm,£525 pcm,100 days
LD3,35,6,£557 pcm,£550 pcm,191 days
LD4,0,0,-,-,-
LE1,195,20,£691 pcm,£594 pcm,259 days
LE2,360,74,£738 pcm,£650 pcm,202 days
LE3,211,35,£685 pcm,£598 pcm,165 days
LE4,95,20,£765 pcm,£702 pcm,102 days
LE5,108,25,£725 pcm,£650 pcm,162 days
LE6,14,5,"£1,002 pcm",£856 pcm,56 days
LE7,40,14,£984 pcm,£763 pcm,84 days
LE8,32,14,£729 pcm,£625 pcm,130 days
